Name,Global sales
Nicktoons: MLB,0.11590852568390808
Learn Math,0.08247723853344802
Nitrobike,0.14305990547355307
Cruise Ship Vacation Games,0.08040322790127341
Pro Yaky? Spirits 6,0.0969554175173073
Paperboy / Rampage,0.09410563919286474
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,0.09623926893781842
Vampire Moon: The Mystery of the Hidden Sun,0.1551635054242393
Sentou Kokka Air Land Battle,0.05093168910200774
Quick Yoga Training,0.07787847230469858
Attack on Titan (KOEI),0.10071948655625995
NTRA Breeders' Cup World Thoroughbred Championships,0.0953297668840758
Hulk Hogan's Main Event,0.16372085587505403
Tak 2: The Staff of Dreams,0.06920572369419098
Destroy All Humans! Big Willy Unleashed,0.08569621577490061
Retro Atari Classics,0.06207665175669952
Imagine: Fashion Designer,0.1014231867331361
Need for Speed Underground 2,0.10472144691026841
My Spanish Coach,0.07692726391394267
Ys: The Ark of Napishtim,0.09395222039621665
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0.10105595747545948
Dragon Age Origins: Awakening,0.09938407896417978
Azure Dreams,0.06292297326820595
Divinity II: The Dragon Knight Saga,0.14739345136471904
SingStar Latino,0.08979430832538604
Kung Fu Panda 2,0.09997782672302868
NHL 2K8,0.07370865184833164
Pro Baseball Spirits 2015,0.09729880279769176
Haunted House,0.15777829942523525
Top Spin 3,0.11405931797662205
Syberia,0.1391144303546561
Kurt Warner's Arena Football Unleashed,0.08110403329844118
Puzzle Kingdoms,0.11960595592541523
Hyperdimension Neptunia,0.1022877693169022
Life is Strange,0.16432920602302836
Suite PreCure: Melody Collection,0.09094814097480963
NHL 2K9,0.10990022004700073
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,0.10994396591263644
Rogue Ops,0.080326610664601
NBA Hoopz,0.06863878618185737
Transworld Surf,0.09140700189741935
History Civil War: Secret Missions,0.09944986987128956
MLB 11: The Show,0.1115921106280151
Castrol Honda Superbike Racing,0.0659817354552672
X-Blades,0.11118062189517097
